"location" "date" "time" "site" "rl" "length_m" "barnacles" "distortionr_m" "age" "magic_thaums"
"1" "E" "02/10/2024" "16:30:00" "1" "L" 57 0 2 7 745.680519502628
"2" "E" "02/10/2024" "16:30:00" "1" "R" 36 0 9 19 639.696434423188
"3" "E" "02/10/2024" "16:30:00" "2" "L" 71 0 18 24 669.88065485499
"4" "E" "02/10/2024" "16:30:00" "2" "R" 37 1 9 9 214.457054420958
"21" "W" "08/10/2023" "14:40:00" "1" "L" 29 0 7 12 436.434383180968
"22" "W" "08/10/2023" "14:40:00" "1" "R" 35 4 4 21 461.559930961602
"23" "W" "08/10/2023" "14:40:00" "2" "L" 65 0 17 18 519.35563197925
"24" "W" "08/10/2023" "14:40:00" "2" "R" 39 0 11 11 487.069988961161
"41" "E" "07/10/2024" "11:32:00" "1" "L" 40 0 50 14 546.486465004739
"42" "E" "07/10/2024" "11:32:00" "1" "R" 20 0 0 26 322.029009179076
"43" "E" "07/10/2024" "11:32:00" "2" "L" 51 0 17 26 526.650192117932
"44" "E" "07/10/2024" "11:32:00" "2" "R" 36 0 64 21 260.563199533176
"61" "W" "29/09/2024" "13:30:00" "1" "L" 60 4 7 26 549.060594690358
"62" "W" "29/09/2024" "13:30:00" "1" "R" 53 0 4 9 769.397769392389
"63" "W" "29/09/2024" "13:30:00" "2" "L" 74 2 1 1 457.412839652901
"64" "W" "29/09/2024" "13:30:00" "2" "R" 50 1 24 20 383.348869518364
"81" "E" "28/09/2024" "14:46:00" "1" "L" 50 5 10 40 743.114859274441
"82" "E" "28/09/2024" "14:46:00" "1" "R" 40 1 1 20 386.636957999182
"83" "E" "28/09/2024" "14:46:00" "2" "L" 67 0 15 10 658.82869780934
"84" "E" "28/09/2024" "14:46:00" "2" "R" 55 0 6 25 513.241145213059
"101" "E" "02/08/2024" "17:28:00" "1" "L" 42 0 48 10 525.413161843734
"102" "E" "02/08/2024" "17:28:00" "1" "R" 29 0 96 22 339.972300546602
"103" "E" "02/08/2024" "17:28:00" "2" "L" 69 0 35 9 555.655617712379
"104" "E" "02/08/2024" "17:28:00" "2" "R" 45 0 23 20 400.841802378584
"121" "W" "06/10/2024" "10:10:00" "1" "L" 44 0 23 15 585.358286531123
"122" "W" "06/10/2024" "10:10:00" "1" "R" 32 0 4 28 438.578905687796
"123" "W" "06/10/2024" "10:10:00" "2" "L" 55 0 5 11 580.350290354943
"124" "W" "06/10/2024" "10:10:00" "2" "R" 33 0 34 8 212.191098938229
"141" "E" "03/10/2024" "17:15:00" "1" "L" 43 2 0 40 772.099086595247
"142" "E" "02/10/2024" "17:15:00" "1" "R" 24 0 2 16 367.476506019286
"143" "E" "05/10/2024" "17:15:00" "2" "L" 68 5 30 20 719.930714800847
"144" "E" "04/10/2024" "17:15:00" "2" "R" 44 15 35 12 481.221506439677
"161" "W" "30/09/2024" "15:34:00" "1" "L" 44 1 10 34 660.019985058115
"162" "W" "30/09/2024" "15:34:00" "1" "R" 20 0 60 10 256.982481937317
"163" "W" "30/09/2024" "15:34:00" "2" "L" 73 0 13 14 575.589089249496
"164" "W" "30/09/2024" "15:34:00" "2" "R" 44 0 8 6 464.131838799506
"181" "W" "02/10/2024" "16:00:00" "1" "L" 44 1 20 31 385.863724545159
"182" "W" "02/10/2024" "16:00:00" "1" "R" 37 0 0 20 260.801394755682
"183" "W" "02/10/2024" "16:00:00" "2" "L" 60 2 1 15 511.991403036238
"184" "W" "02/10/2024" "16:00:00" "2" "R" 39 0 26 16 299.558119935831
"201" "E" "30/09/2024" "14:40:00" "1" "L" 55 10 2 29 617.754132449339
"202" "E" "30/09/2024" "14:40:00" "1" "R" 36 2 54 41 628.264641134454
