"days","population"
746,185193
640,46656
670,357911
214,50653
436,24389
462,42875
519,274625
487,59319
546,64000
322,8000
527,132651
261,46656
549,216000
769,148877
457,405224
383,125000
743,125000
387,64000
659,300763
513,166375
525,74088
340,24389
556,328509
401,91125
585,85184
439,32768
580,166375
212,35937
772,79507
367,13824
720,314432
481,85184
660,85184
257,8000
576,389017
464,85184
386,85184
261,50653
512,216000
300,59319
618,166375
628,46656
771,421875
599,226981
492,32768
308,13824
782,238328
210,50653
339,32768
290,13824
556,238328
319,50653
710,216000
468,27000
846,343000
129,19683
640,185193
554,46656
556,175616
538,140608
625,125000
243,8000
636,328509
288,74088
353,110592
283,21952
810,262144
356,35937
643,110592
240,4913
709,389017
132,42875
424,64000
286,19683
672,216000
255,91125
644,74088
360,35937
942,357911
214,24389
675,166375
460,39304
622,262144
223,68921
694,140608
305,10648
661,300763
462,103823
528,195112
373,46656
491,226981
283,21952
299,13824
316,10648
576,216000
519,59319
716,148877
506,91125
593,389017
532,389017
