year,strtno,pairs,agr_area,DEPLY,CYLDR,CLUTCH,prcnt_area,ElSite,date
1999,84,227,14.91090968,2,1,8,0.463505271,1,138
1997,81,219.5,15.01664767,1,1,11,0.466792134,1,108
1999,83,219.5,15.48408091,1,1,12,0.481322285,1,97
1998,83,219.5,15.60183983,1,1,11,0.484982818,1,116
1997,83,219.5,15.73998742,1,1,11,0.489277132,1,108
1997,91,219.75,16.00065275,1,1,10,0.497379908,1,119
1999,87,236.5,16.04361464,2,1,13,0.498715377,1,94
1999,74,258,16.29625987,2,1,9,0.506568848,1,128
1999,89,211,16.3173087,1,1,25,0.507223151,1,115
1997,90,211.5,16.46896547,1,1,11,0.511937398,1,112
1997,87,236.5,16.50695919,2,1,12,0.513118432,1,108
1998,88,230.5,16.59728519,1,1,12,0.515926213,1,94
1998,90,211.5,16.60047368,1,1,11,0.516025327,1,102
1997,89,211,16.65102261,1,1,21,0.51759664,1,110
1997,89,211,16.65102261,1,1,11,0.51759664,1,174
1998,89,211,16.72008869,1,1,21,0.519743557,1,86
1998,74,258,16.73007125,2,1,8,0.520053865,1,162
1999,111,258,16.73604725,1,1,12,0.520239629,1,99
1997,88,230.5,16.76621604,1,1,12,0.521177425,1,105
1998,111,258,17.1432908,1,1,12,0.532898784,1,103
1997,74,258,17.23713625,2,2,11,0.535815968,1,128
1997,72,270.667,17.42181274,2,2,11,0.541556632,1,132
1998,70,246.25,17.70678685,2,1,8,0.550415046,1,124
1997,70,246.25,18.25350907,2,2,8,0.567409893,1,159
1999,28,181.6,18.77205849,2,2,10,0.583528989,1,116
1999,17,193,19.00879099,2,2,15,0.590887813,1,96
1999,71,214.75,19.01076434,2,1,10,0.590949155,1,114
1999,13,189.25,19.0443466,2,1,12,0.591993059,1,92
1999,13,189.25,19.0443466,2,1,8,0.591993059,1,150
1999,13,189.25,19.0443466,2,2,10,0.591993059,1,104
1999,15,178.75,19.11778496,2,1,11,0.594275888,1,103
1999,15,178.75,19.11778496,2,1,10,0.594275888,1,142
1999,16,193,19.1269084,1,1,12,0.59455949,1,107
1999,69,234.5,19.19906384,2,2,9,0.59680244,1,117
1998,13,189.25,19.31135607,2,1,12,0.600293042,1,93
1998,13,189.25,19.31135607,2,2,10,0.600293042,1,120
1998,71,214.75,19.33629356,2,1,11,0.601068223,1,101
1998,16,193,19.39993189,1,1,11,0.603046419,1,105
1998,15,178.75,19.40413598,2,1,11,0.603177103,1,99
1998,18,199.25,19.44008563,2,1,14,0.604294597,1,94
1998,28,181.6,19.52727804,2,2,11,0.607004971,1,97
1997,71,214.75,19.60855719,2,1,11,0.609531531,1,171
1997,13,189.25,19.87981445,2,2,11,0.617963557,1,108
1999,56,190.25,19.90029789,2,2,12,0.618600284,2,115
1997,15,178.75,19.97308602,2,1,11,0.620862901,2,108
1998,69,234.5,19.98022656,2,2,25,0.621084865,2,109
1997,16,193,19.98098635,1,1,12,0.621108483,2,109
1997,18,199.25,20.04441627,2,1,13,0.6230802,2,109
1999,59,214.75,20.23248845,2,1,12,0.62892642,2,107
1997,28,181.6,20.2610429,2,1,11,0.629814034,2,110
1999,55,179.75,20.2849735,2,2,10,0.630557916,2,117
1999,38,147,20.32600791,2,1,9,0.63183347,2,131
1998,40,147,20.51776054,1,1,13,0.637794096,2,113
